time,latitude,longitude,z,sea_water_practical_salinity,sea_water_temperature
UTC,degrees_north,degrees_east,m,1e-3,degree_Celsius
2020-02-28T06:17:00Z,59.85,-149.5,0.0,31.31,4.09
2020-02-28T03:17:00Z,59.85,-149.5,0.0,31.41,4.29
2020-02-28T00:17:00Z,59.85,-149.5,0.0,31.52,4.49
2020-02-27T21:17:00Z,59.85,-149.5,0.0,31.55,4.53
2020-02-27T18:17:00Z,59.85,-149.5,0.0,31.55,4.52
2020-02-27T15:17:00Z,59.85,-149.5,0.0,31.55,4.55
2020-02-27T06:17:00Z,59.85,-149.5,0.0,31.53,4.44
2020-02-27T03:17:00Z,59.85,-149.5,0.0,31.53,4.48
2020-02-27T00:17:00Z,59.85,-149.5,0.0,31.54,4.51
2020-02-26T21:17:00Z,59.85,-149.5,0.0,31.52,4.43
2020-02-26T18:17:00Z,59.85,-149.5,0.0,31.53,4.47
2020-02-26T15:17:00Z,59.85,-149.5,0.0,31.51,4.4
2020-02-26T06:17:00Z,59.85,-149.5,0.0,31.46,4.27
2020-02-26T03:17:00Z,59.85,-149.5,0.0,31.45,4.26
2020-02-26T00:17:00Z,59.85,-149.5,0.0,31.49,4.43
2020-02-25T21:17:00Z,59.85,-149.5,0.0,31.49,4.46
2020-02-25T18:17:00Z,59.85,-149.5,0.0,31.48,4.47
2020-02-25T15:17:00Z,59.85,-149.5,0.0,31.47,4.47
2020-02-25T06:17:00Z,59.85,-149.5,0.0,31.48,4.46
2020-02-25T03:17:00Z,59.85,-149.5,0.0,31.48,4.49
2020-02-25T00:17:00Z,59.85,-149.5,0.0,31.5,4.62
2020-02-24T21:17:00Z,59.85,-149.5,0.0,31.47,4.33
2020-02-24T18:17:00Z,59.85,-149.5,0.0,31.4,4.13
2020-02-24T15:17:00Z,59.85,-149.5,0.0,31.41,4.21
2020-02-24T06:17:00Z,59.85,-149.5,0.0,31.35,4.25
2020-02-24T03:17:00Z,59.85,-149.5,0.0,31.35,4.29
2020-02-24T00:17:00Z,59.85,-149.5,0.0,31.37,4.43
2020-02-23T21:17:00Z,59.85,-149.5,0.0,31.25,3.96
2020-02-23T18:17:00Z,59.85,-149.5,0.0,31.21,3.9
2020-02-23T15:17:00Z,59.85,-149.5,0.0,31.17,3.83
2020-02-23T06:17:00Z,59.85,-149.5,0.0,31.18,4.07
2020-02-23T03:17:00Z,59.85,-149.5,0.0,31.18,4.11
2020-02-23T00:17:00Z,59.85,-149.5,0.0,31.16,4.1
2020-02-22T21:17:00Z,59.85,-149.5,0.0,31.06,3.81
2020-02-22T18:17:00Z,59.85,-149.5,0.0,31.16,4.08
2020-02-22T15:17:00Z,59.85,-149.5,0.0,31.23,4.28
2020-02-22T06:17:00Z,59.85,-149.5,0.0,31.19,4.26
2020-02-22T03:17:00Z,59.85,-149.5,0.0,31.22,4.39
2020-02-22T00:17:00Z,59.85,-149.5,0.0,31.12,4.12
2020-02-21T21:17:00Z,59.85,-149.5,0.0,31.12,4.18
2020-02-21T18:17:00Z,59.85,-149.5,0.0,31.17,4.29
2020-02-21T15:17:00Z,59.85,-149.5,0.0,31.15,4.23
2020-02-21T06:17:00Z,59.85,-149.5,0.0,31.14,4.3
2020-02-21T03:17:00Z,59.85,-149.5,0.0,31.06,4.27
2020-02-21T00:17:00Z,59.85,-149.5,0.0,31.1,4.23
